    ID  Unit  phi1   phi     phi2        X        Y  St Cls   MAD  BC  BS
     86     1  124.2  006.3  28      60.0000   0.0000   5   1   0.4 142  62
     87     1  127.9  007.2  25      60.0000   0.0000   5   1   0.4 142  62
     88     1  175.9  060.6  55      60.0000   0.0000   5   1   0.4 142  62
     89     1  170.2  130.3  39      60.0000   0.0000   5   1   0.4 142  62
     90     1  148.6  049.3  28      60.0000   0.0000   5   1   0.4 142  62
     91     1  175.5  061.3  55      60.0000   0.0000   5   1   0.4 142  62
     92     1  153.0  013.6  44      60.0000   0.0000   5   1   0.4 142  62
     93     1  126.9  172.7  24      60.0000   0.0000   5   1   0.4 142  62
     94     1  148.9  050.2  28      60.0000   0.0000   5   1   0.4 142  62
     95     1  162.8  026.5  13      60.0000   0.0000   5   1   0.4 142  62
     96     1  156.5  014.0  40      60.0000   0.0000   5   1   0.4 142  62
     97     1  176.0  062.0  55      60.0000   0.0000   5   1   0.4 142  62
     98     1  176.3  122.1  17      60.0000   0.0000   5   1   0.4 142  62
     99     1  162.0  026.7  15      60.0000   0.0000   5   1   0.4 142  62
     100     1  176.0  061.6  56      60.0000   0.0000   5   1   0.4 142  62
     101     1  174.0  122.5  15      60.0000   0.0000   5   1   0.4 142  62
     102     1  161.4  026.2  14      60.0000   0.0000   5   1   0.4 142  62
     103     1  174.7  060.4  55      60.0000   0.0000   5   1   0.4 142  62
     104     1  021.4  144.7  00      60.0000   0.0000   5   1   0.4 142  62
     105     1  028.6  123.6  10      60.0000   0.0000   5   1   0.4 142  62
     106     1  006.7  152.5  38      60.0000   0.0000   5   1   0.4 142  62
     107     1  008.5  156.9  39      60.0000   0.0000   5   1   0.4 142  62
     108     1  033.8  130.1  24      60.0000   0.0000   5   1   0.4 142  62
     109     1  028.9  123.3  09      60.0000   0.0000   5   1   0.4 142  62
     110     1  020.4  145.1  58      60.0000   0.0000   5   1   0.4 142  62
     111     1  010.5  091.0  50      60.0000   0.0000   5   1   0.4 142  62
     112     1  034.7  131.3  27      60.0000   0.0000   5   1   0.4 142  62
     113     1  021.1  144.0  02      60.0000   0.0000   5   1   0.4 142  62
     114     1  015.0  043.0  02      60.0000   0.0000   5   1   0.4 142  62
     115     1  009.5  092.2  51      60.0000   0.0000   5   1   0.4 142  62
     116     1  033.1  129.5  22      60.0000   0.0000   5   1   0.4 142  62
     117     1  008.5  089.2  51      60.0000   0.0000   5   1   0.4 142  62
     118     1  004.9  086.9  54      60.0000   0.0000   5   1   0.4 142  62
     119     1  004.4  115.2  55      60.0000   0.0000   5   1   0.4 142  62
     120     1  057.8  081.1  20      60.0000   0.0000   5   1   0.4 142  62
     121     1  167.2  137.9  22      60.0000   0.0000   5   1   0.4 142  62
